timestamp,emotion,AUs
2025-11-23T20:42:35.165Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:35.428Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Lid Tightener']"
2025-11-23T20:42:35.702Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Lid Tightener']"
2025-11-23T20:42:35.983Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:36.263Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener', 'Jaw Drop']"
2025-11-23T20:42:36.515Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:36.801Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:37.061Z,happy,"['Lip Corner Puller (Smile)', 'Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:37.351Z,happy,"['Lip Corner Puller (Smile)', 'Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:37.614Z,happy,"['Lip Corner Puller (Smile)', 'Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:37.882Z,happy,"['Lip Corner Puller (Smile)', 'Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:38.159Z,happy,"['Lip Corner Puller (Smile)', 'Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:38.436Z,happy,"['Lip Corner Puller (Smile)', 'Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:38.703Z,happy,"['Lip Corner Puller (Smile)', 'Upper Lip Raiser', 'Looking Down', 'Brow Inner Raiser', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:39.001Z,happy,"['Lip Corner Puller (Smile)', 'Upper Lip Raiser', 'Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:39.269Z,happy,"['Lip Corner Puller (Smile)', 'Upper Lip Raiser', 'Looking Down', 'Brow Inner Raiser', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:39.539Z,happy,"['Lip Corner Puller (Smile)', 'Upper Lip Raiser', 'Looking Down', 'Brow Inner Raiser', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:39.829Z,happy,"['Lip Corner Puller (Smile)', 'Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:40.103Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:40.385Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Lid Tightener']"
2025-11-23T20:42:40.659Z,fear,"['Brow Inner Raiser', 'Brow Outer Raiser']"
2025-11-23T20:42:40.925Z,fear,"['Brow Inner Raiser', 'Brow Outer Raiser', 'Lid Tightener']"
2025-11-23T20:42:41.195Z,fear,"['Brow Inner Raiser', 'Brow Outer Raiser', 'Lip Tightener']"
2025-11-23T20:42:41.459Z,fear,"['Looking Down', 'Brow Inner Raiser', 'Brow Outer Raiser', 'Lip Tightener']"
2025-11-23T20:42:41.712Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:41.982Z,angry,"['Looking Down', 'Blink', 'Lid Tightener', 'Brow Lowerer']"
2025-11-23T20:42:42.236Z,neutral,"['Looking Down', 'Blink', 'Lid Tightener', 'Brow Lowerer']"
2025-11-23T20:42:42.504Z,neutral,"['Looking Down', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:42.771Z,neutral,"['Looking Down', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:43.042Z,neutral,"['Looking Down', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:43.332Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:43.598Z,neutral,"['Looking Down', 'Blink', 'Lid Tightener', 'Brow Lowerer']"
2025-11-23T20:42:43.854Z,neutral,"['Looking Down', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:44.122Z,neutral,"['Looking Down', 'Lid Tightener']"
2025-11-23T20:42:44.379Z,neutral,"['Looking Down', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:44.653Z,neutral,"['Looking Down', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:44.937Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:45.205Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:45.473Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:45.733Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:46.013Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:46.281Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:46.555Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:46.862Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lip Tightener', 'Lid Tightener']"
2025-11-23T20:42:47.135Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:47.402Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lip Tightener', 'Lid Tightener']"
2025-11-23T20:42:47.672Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lip Tightener', 'Lid Tightener']"
2025-11-23T20:42:47.936Z,neutral,"['Looking Down', 'Blink', 'Lip Tightener', 'Lid Tightener', 'Brow Lowerer']"
2025-11-23T20:42:48.270Z,neutral,"['Looking Down', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:48.621Z,neutral,"['Looking Down', 'Blink', 'Lip Tightener', 'Lid Tightener']"
2025-11-23T20:42:48.942Z,neutral,"['Looking Down', 'Lid Tightener']"
2025-11-23T20:42:49.250Z,neutral,"['Looking Down', 'Lip Tightener', 'Lid Tightener']"
